ticker,market,name,sector,score,reason,pe,pb,ev_ebitda,roe,fcf_yield,dividend_yield,price,market_cap,run_date
HPQ,SP500,HP Inc.,Technology,0.9209807443581276,P/B -26.0 (top 2%) · P/E 8.2 (top 2%) · Div yield 5.5% (top 3%),8.208333,-25.952097,6.193,,0.1420305744404238,0.0554,21.67,19892723712.0,2026-05-12
ALL,SP500,Allstate Corporation (The),Financial Services,0.9091343744804974,P/E 4.7 (top 1%) · EV/EBITDA 4.0 (top 1%) · FCF yield 22.6% (top 2%),4.7300887,1.8631485,3.983,0.45221,0.2258315472383817,0.0202,213.8,55036596224.0,2026-05-12
ACGL,SP500,Arch Capital Group Ltd.,Financial Services,0.8901227588434826,P/E 7.2 (top 1%) · EV/EBITDA 5.5 (top 3%) · FCF yield 16.1% (top 3%),7.2176924,1.4353459,5.526,0.21305999,0.1609397757979339,,93.83,32783226880.0,2026-05-12
APA,SP500,APA Corporation,Energy,0.882619195276402,EV/EBITDA 3.5 (top 1%) · P/E 8.6 (top 4%) · FCF yield 13.0% (top 5%),8.554779,2.0066707,3.484,0.26217,0.1303733751394621,0.0272,36.7,12972357632.0,2026-05-12
CMCSA,SP500,Comcast Corporation,Communication Services,0.8693427635713251,P/E 4.9 (top 1%) · EV/EBITDA 4.9 (top 1%) · Div yield 5.3% (top 3%),4.9078436,1.0142226,4.942,0.20918,0.0448830730763095,0.0527,25.03,89412886528.0,2026-05-12
ALL,SP500,Allstate Corporation (The),Financial Services,0.9221384977381928,P/E 4.7 (top 1%) · EV/EBITDA 4.0 (top 1%) · FCF yield 22.6% (top 2%),4.7300887,1.8631485,3.983,0.45221,0.2258315472383817,0.0202,213.8,55036596224.0,2026-05-12
ACGL,SP500,Arch Capital Group Ltd.,Financial Services,0.903271158190336,P/E 7.2 (top 1%) · EV/EBITDA 5.5 (top 3%) · FCF yield 16.1% (top 3%),7.2176924,1.4353459,5.526,0.21305999,0.1609397757979339,,93.83,32783226880.0,2026-05-12
APA,SP500,APA Corporation,Energy,0.8947202654743103,EV/EBITDA 3.5 (top 1%) · P/E 8.6 (top 4%) · FCF yield 13.0% (top 5%),8.554779,2.0066707,3.484,0.26217,0.1303733751394621,0.0272,36.7,12972357632.0,2026-05-12
CMCSA,SP500,Comcast Corporation,Communication Services,0.8844395171408924,P/E 4.9 (top 1%) · EV/EBITDA 4.9 (top 1%) · P/B 1.0 (top 2%),4.9078436,1.0142226,4.942,0.20918,0.0448830730763095,0.0527,25.03,89412886528.0,2026-05-12
CINF,SP500,Cincinnati Financial Corporatio,Financial Services,0.8745709659670073,P/E 9.3 (top 4%) · EV/EBITDA 6.8 (top 5%) · FCF yield 10.9% (top 7%),9.338479,1.6068987,6.823,0.18735,0.1087770372242574,0.023,163.33,25264984064.0,2026-05-12
ALL,SP500,Allstate Corporation (The),Financial Services,0.922357186044134,P/E 4.7 (top 1%) · EV/EBITDA 4.0 (top 1%) · FCF yield 22.6% (top 2%),4.7300887,1.8631485,3.983,0.45221,0.2258315472383817,0.0202,213.8,55036596224.0,2026-05-12
ACGL,SP500,Arch Capital Group Ltd.,Financial Services,0.9058128377613672,P/E 7.2 (top 1%) · EV/EBITDA 5.5 (top 3%) · FCF yield 16.1% (top 3%),7.2176924,1.4353459,5.526,0.21305999,0.1609397757979339,,93.83,32783226880.0,2026-05-12
EXE,SP500,Expand Energy Corporation,Energy,0.903446281857694,EV/EBITDA 3.5 (top 1%) · P/E 7.2 (top 1%) · P/B 1.2 (top 5%),7.1949406,1.187771,3.498,0.17568001,0.0732976034073384,0.033,96.7,23133429760.0,2026-05-12
APA,SP500,APA Corporation,Energy,0.8938724311875974,EV/EBITDA 3.5 (top 1%) · P/E 8.6 (top 3%) · FCF yield 13.0% (top 5%),8.554779,2.0066707,3.484,0.26217,0.1303733751394621,0.0272,36.7,12972357632.0,2026-05-12
CMCSA,SP500,Comcast Corporation,Communication Services,0.8831660353365861,P/E 4.9 (top 1%) · EV/EBITDA 4.9 (top 1%) · P/B 1.0 (top 2%),4.9078436,1.0142226,4.942,0.20918,0.0448830730763095,0.0527,25.03,89412886528.0,2026-05-12
ALL,SP500,Allstate Corporation (The),Financial Services,0.9236418884538133,P/E 4.7 (top 1%) · EV/EBITDA 4.0 (top 1%) · FCF yield 22.6% (top 2%),4.7300887,1.8631485,3.983,0.45221,0.22583154723838178,0.0202,213.8,55036596224.0,2026-05-18
ACGL,SP500,Arch Capital Group Ltd.,Financial Services,0.9077132368754296,P/E 7.2 (top 1%) · EV/EBITDA 5.5 (top 2%) · FCF yield 16.1% (top 3%),7.2176924,1.4353459,5.526,0.21305999,0.1609397757979339,,93.83,32783226880.0,2026-05-18
EXE,SP500,Expand Energy Corporation,Energy,0.9050565397668218,EV/EBITDA 3.5 (top 1%) · P/E 7.2 (top 1%) · P/B 1.2 (top 5%),7.1949406,1.187771,3.498,0.17568001,0.07329760340733842,0.033,96.7,23133429760.0,2026-05-18
APA,SP500,APA Corporation,Energy,0.8952780671883964,EV/EBITDA 3.5 (top 1%) · P/E 8.6 (top 3%) · FCF yield 13.0% (top 4%),8.554779,2.0066707,3.484,0.26217,0.1303733751394621,0.027200000000000002,36.7,12972357632.0,2026-05-18
CMCSA,SP500,Comcast Corporation,Communication Services,0.8831407357296305,P/E 4.9 (top 1%) · EV/EBITDA 4.9 (top 1%) · P/B 1.0 (top 1%),4.9078436,1.0142226,4.942,0.20918,0.04488307307630958,0.0527,25.03,89412886528.0,2026-05-18
